Nombre*,Categoría,Código,Descripción,Costo unitario,Precio*,Precio de promoción,Exibir no catálogo,Destacar,Fracción?,Controlar stock,Stock atual,Stock mínimo
"🔴 Sellador de Vino y Champagne Velvet,Nuevos ingresos,N/A,""🍷 ¡Mantén tus burbujas frescas y listas para disfrutar! Con el sellador Velvet, tus botellas de vino y champagne se conservarán como recién abiertas. Su diseño ergonómico y elegante asegura un sellado perfecto cada vez.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Preserva las burbujas del champagne.   | - Sella el vino herméticamente.   | - Acabado suave al tacto para un fácil agarre.   | 💻 COMPATIBILIDAD:   | - Botellas de vino estándar.   | - Botellas de champagne."",100,350,,S,N,N,N,1,1"
"🔴 Convertidor de Voltaje 220V a 110V para Viajes,Nuevos ingresos,N/A,""🌍 ¡Mantén tus dispositivos cargados en cualquier parte del mundo! Este convertidor de voltaje es ideal para viajeros que buscan comodidad y seguridad. 🚀 | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Transforma 220V a 110V | - Compatible con múltiples estándares de enchufe (EU, UK, AUS, USA) | - Tamaño compacto y ligero para fácil transporte | - Protección contra sobrecargas y cortocircuitos | 💻 COMPATIBILIDAD: | - Dispositivos electrónicos de hogar | - Laptops y computadoras | - Cargadores de teléfonos y tablets | - Equipos de fotografía y audio"",100,600,,S,N,N,N,1,1"
"🔴 Caja de Sonidos Soundbox para Diversión,Nuevos ingresos,N/A,""🎉 ¡Descubre la manera perfecta de añadir diversión a tus eventos! La Soundbox es ideal para crear atmósferas únicas y sorprendentes en fiestas y reuniones. 🎶 Además, su diseño portátil la hace fácil de usar en cualquier lugar. |  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - 12 botones de sonido pregrabados.  | - Diseño compacto y portátil.  | - Alta calidad de audio.  | - Fácil de usar, solo presiona y escucha. |  | 💻 COMPATIBILIDAD:  | - Ideal para fiestas.  | - Perfecta para animaciones de eventos.  | - Usable en reuniones familiares y amigos."",50,300,,S,N,N,N,1,1"
🔴 Affinity Designer Workbook para Diseño Digital,Nuevos ingresos,N/A,✨¡Aprende diseño digital y ilustración de manera divertida! Este libro te guiará a través de las herramientas y técnicas para dominar Affinity Designer. Perfecto para principiantes y profesionales que quieren mejorar sus habilidades. 🎨 |  | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Contenido interactivo | - Ejercicios prácticos | - Instrucciones paso a paso | - Visuales explicativos |  | 💻 COMPATIBILIDAD: | - Affinity Designer (versiones más recientes) | - Compatible con Windows y macOS,50,500,,S,N,N,N,1,1
"🔴 Ventilador Calefactor Automático 12V,Nuevos ingresos,N/A,""🔥 Mejora la calidad de tu ambiente con el Ventilador Calefactor Automático. Ideal para los días fríos, su diseño compacto y eficiente purifica el aire mientras calienta. Perfecto para auto y espacios pequeños.   | ⚙️ CARACTERÍSTICAS TÉCNICAS:   | - Potencia: 200W   | - Voltaje: 12V   | - Función de purificación del aire   | - Diseño portátil y ligero   | - Cable adaptador para encendedor de auto   | 💻 COMPATIBILIDAD:   | - Vehículos de 12V   | - Ideal para autos, camionetas y SUV   | - Uso en espacios cerrados como garajes o campers"",30,400,,S,N,N,N,1,1"
🔴 Medidor de Gas Propano Bernzomatic,Nuevos ingresos,N/A,🔥 Mantén el control de tu gas propano de manera fácil y efectiva con el Medidor Bernzomatic. Su diseño digital te permite saber en todo momento cuánto gas te queda. ¡No más sorpresas en medio de tu proyecto! ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Medidor digital fácil de leer  | - Compatible con botellas de 16 oz y 14 oz  | - Incluye baterías para un funcionamiento inmediato.  | 💻 COMPATIBILIDAD:  | - Botellas de gas propano de 16 oz  | - Botellas de gas propano de 14 oz,30,500,,S,N,N,N,1,1
"Funda Rígida MacBook Pro 14"" Gris Translúcido",Nuevos ingresos,N/A,"✨ Protege tu MacBook Pro con estilo y funcionalidad. Esta funda rígida gris translúcido no solo brinda una apariencia elegante, sino que también ofrece una defensa robusta contra golpes y rasguños. ¡No comprometas la seguridad de tu computadora!  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Material: plástico rígido de alta calidad.  | - Diseño preciso para ajuste perfecto.  | - Ventilación optimizada para evitar sobrecalentamiento.  | - Textura antideslizante en la parte inferior.  | 💻 COMPATIBILIDAD:  | - MacBook Pro 14"" (Modelos A2442, A2779, A2918, A2992)",50,500,,S,N,N,N,1,1
Adaptador de Audio Jack 3.5mm a 1/4 VCELimk,Nuevos ingresos,N/A,"¡Dale vida a tu música con este increíble adaptador! 🎶 Conéctate de manera fácil y rápida a tus dispositivos y disfruta de un sonido nítido.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Conector: Jack 3.5mm a 1/4 (6.35mm)  | - Material: Cobre y metal de alta calidad  | - Longitud del cable: 15 cm  | - Diseño compacto y portátil.  | 💻 COMPATIBILIDAD:  | - Auriculares y micrófonos con jack 3.5mm  | - Consolas de audio y instrumentos musicales  | - Dispositivos móviles, laptops y más.",30,300,,S,N,N,N,1,1
Microscopio Clip Universal 60X para Dispositivos Móviles,Nuevos ingresos,N/A,"🔍 ¡Descubre el mundo microscópico en la palma de tu mano! Este microscopio clip universal es ideal para estudiantes, profesionales y curiosos. Su diseño compacto y fácil de usar lo convierte en el accesorio perfecto para explorar detalles invisibles a simple vista. | ⚙️ CARACTERÍSTICAS TÉCNICAS: | - Ampliación de 60X. | - Compatible con teléfonos móviles y tabletas. | - Incluye iluminación LED para mejor visibilidad. | - Diseño portátil y ligero. | 💻 COMPATIBILIDAD: | - Smartphones (iOS y Android). | - Tabletas. | - Dispositivos con cámara.",290,600,,S,N,N,N,1,1
Lector de Tarjetas y USB ID-Identiv,Nuevos ingresos,N/A,¡Optimiza tu acceso a datos con este lector USB! 🚀 Su diseño compacto te permitirá llevarlo a donde vayas. Perfecto para los profesionales que buscan agilidad y eficacia en el trabajo diario.  | ⚙️ CARACTERÍSTICAS TÉCNICAS:  | - Diseño portátil y ligero.  | - Conexión USB 2.0.  | - Compatible con múltiples tipos de tarjetas.  | - Alta velocidad de lectura y escritura.  | 💻 COMPATIBILIDAD:  | - Windows.  | - macOS.  | - Linux.  | - Dispositivos con puertos USB.,50,1000,,S,N,N,N,1,1
